funder,count,type,country,established
Kunming University,1,Education,China,1984
Japan Arteriosclerosis Prevention Fund,1,Other,Japan,
Japan Aviation Electronics Industry (Taiwan),1,Company,Taiwan,1953
Kundong University,1,Education,South Korea,1992
Kumi University,1,Education,Uganda,2004
Kumasi Technical University,1,Education,Ghana,1954
Japan Biological Informatics Consortium,1,Nonprofit,Japan,1998
Kuhn Special Steel (Germany),1,Company,Germany,1960
Kuehnle AgroSystems (United States),1,Company,United States,
CIUDAD,1,Nonprofit,Ecuador,1977
Kristal University,1,Education,Albania,2005
California University of Pennsylvania,1,Education,United States,1852
CJ Foundation for SIDS,1,Nonprofit,United States,1994
Krebsgesellschaft Nordrhein-Westfalen,1,Nonprofit,Germany,
Japan Foundation Sydney,1,Nonprofit,Australia,1972
Japan Institute of Lifelong Learning,1,Other,Japan,1972
Kyoto Institute of Culture and Language,1,Education,Japan,1969
Kyoto Prefectural University,1,Education,Japan,1895
CIRP,1,Facility,France,1951
CINAR (United Kingdom),1,Company,United Kingdom,1988
Jackstädt Stiftung,1,Nonprofit,Germany,2002
La Consolacion University Philippines,1,Education,Philippines,1937
LUdeS University,1,Education,Switzerland,1999
LSP Technologies (United States),1,Company,United States,1995
LRC Products (United States),1,Company,United States,2002
Jacobs (Spain),1,Company,Spain,1947
Jacobs Institute,1,Nonprofit,United States,2008
LGL Group (United States),1,Company,United States,1917
LGL Electronics (Italy),1,Company,Italy,1982
Jacobs University,1,Education,Germany,2001
LG (India),1,Company,India,2002
Cambridge Collaborative (United States),1,Company,United States,1970
Jahrom University,1,Education,Iran,1973
LEAP Science and Maths Schools,1,Education,South Africa,1987
LCC International University,1,Education,Lithuania,1991
Kyung Hee University,1,Education,South Korea,1949
LAND studio,1,Nonprofit,United States,2011
James Cook University Hospital,1,Healthcare,United Kingdom,1980
LABCATAL (France),1,Company,France,1989
CINOGY Technologies (Germany),1,Company,Germany,2006
L3S Research Center,1,Facility,Germany,2001
L-Up,1,Company,France,2001
CINTAS Foundation,1,Nonprofit,United States,
L'Oreal (United States),1,Company,United States,1909
Cambodia Development Resource Institute,1,Facility,Cambodia,1990
James Jones Literary Society,1,Nonprofit,United States,1991
Károli Gáspár University of the Reformed Church in Hungary,1,Education,Hungary,1855
James Kent (United Kingdom),1,Company,United Kingdom,1925
Kyushu International University,1,Education,Japan,1950
Kyushu Institute of Technology,1,Education,Japan,1907
J. E. and L. E. Mabee Foundation,1,Nonprofit,United States,1948
J-VST (Czechia),1,Company,Portugal,
Kovo Novak (Czechia),1,Company,Czechia,1992
Leadership Conference Education Fund,1,Nonprofit,United States,1969
Isomerase Therapeutics (United Kingdom),1,Company,United Kingdom,2012
Islenet,1,Other,Belgium,1993
Cambridge Systematics (United States),1,Company,United States,1972
Islamic Foundation for Ecology and Environmental Science,1,Nonprofit,United Kingdom,1994
Le Moyne College,1,Education,United States,1946
Lead City University,1,Education,Nigeria,2005
CCI Reprographics (United States),1,Company,United States,1969
Lee County Board of Commissioners,1,Government,United States,1887
LearnPlay Foundation,1,Other,United Kingdom,2007
Learning Forward,1,Nonprofit,United States,
Learning Partnership,1,Nonprofit,Canada,1993
Learning Policy Institute,1,Nonprofit,United States,2015
"Islamic Azad University, Yazd",1,Education,Iran,
Cambridge in America,1,Nonprofit,United States,2000
Isotherm Research Institute,1,Facility,Russia,1966
Law and Society Association,1,Other,United States,1964
Israel Cancer Research Fund,1,Nonprofit,United States,1975
Laurel University,1,Education,United States,1903
Laureate International Universities,1,Education,Brazil,1999
Israel National Nanotechnology Initiative,1,Government,Israel,
Latvian Council of Science,1,Government,Latvia,1991
Latvian Academy of Sciences,1,Government,Latvia,1946
Latvia University of Life Sciences and Technologies,1,Education,Latvia,1863
Latin American and Caribbean Society of Medical Oncology,1,Other,Argentina,1921
Cambridge Research Biochemicals (United Kingdom),1,Company,United Kingdom,1980
Latin American Studies Association,1,Other,United States,1966
CDM Group (United States),1,Company,United States,1987
Lata Medical Research Foundation,1,Nonprofit,India,1999
Issues Research,1,Other,United States,2012
Laskeek Bay Conservation Society,1,Nonprofit,Canada,1989
Laser & Plasma Technologies (United States),1,Company,United States,2002
Lee College,1,Education,United States,1934
CBot (Sweden),1,Company,Sweden,2013
Işık University,1,Education,Turkey,1996
Irish Rugby Football Union,1,Other,Ireland,1879
Irvine Health Foundation,1,Nonprofit,United States,1985
Cameco (Germany),1,Company,Germany,1988
Camera di Commercio di Firenze,1,Nonprofit,Italy,1980
Lens Technology (China),1,Company,China,2006
IrkutskNIIHimmash (Russia),1,Company,Russia,1949
Irish Universities Association,1,Nonprofit,Ireland,1972
CATI,1,Facility,France,
"Islamic Azad University, Khorramabad Branch",1,Education,Iran,1982
Leonard Wood Institute,1,Nonprofit,United States,2004
Leonardis Foundation,1,Nonprofit,Germany,
Leonardo Büro Sachsen Anhalt,1,Other,Germany,1991
Leonardo Da Vinci University,1,Education,Peru,2010
Leopold Schepp Foundation,1,Other,United States,1925
Lepra Society,1,Nonprofit,India,1989
Leibniz-Institut für Wissensmedien,1,Facility,Germany,2001
Leibniz University of Applied Sciences,1,Education,Germany,2011
Leibniz Supercomputing Centre,1,Facility,Germany,1962
Leibniz Institute of Vegetable and Ornamental Crops,1,Facility,Germany,1924
Isaac Newton Institute for Mathematical Sciences,1,Facility,United Kingdom,1992
CBS Corporation (United States),1,Company,United States,1886
Isfahan Fertility and Infertility Center,1,Facility,Iran,
Isha Foundation,1,Nonprofit,India,1992
Ishikawa Prefecture Archaeological Center,1,Archive,Japan,
Lehigh University,1,Education,United States,1865
Islamic Azad University Bandar Abbas,1,Education,Iran,1984
Legacy Heritage Fund,1,Nonprofit,United States,
Leeward Community College,1,Education,United States,1968
Leeds Community Foundation,1,Other,United Kingdom,2005
Leeds Cares,1,Other,United Kingdom,1999
"Islamic Azad University, Arak",1,Education,Iran,1985
Leech Lake Tribal College,1,Education,United States,1990
Lasanaa,1,Nonprofit,Nepal,2007
Istituto Nazionale di Economia Agraria,1,Facility,Italy,1928
Istituto Zooprofilattico Sperimentale dell'Umbria e delle Marche,1,Facility,Italy,1936
CEA Valduc,1,Government,France,1957
Lancaster Education Foundation,1,Nonprofit,United States,1989
Iwate Biotechnology Research Center,1,Facility,Japan,1992
Lancaster University Ghana,1,Education,Ghana,1964
Ivy Tech Community College of Indiana,1,Education,United States,1963
Cambridge Information Group,1,Other,United States,1971
CECOLFES,1,Healthcare,Colombia,
Lander Institute,1,Education,Israel,2004
"Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna ""Bruno Ubertini""",1,Other,Italy,1907
Lander University,1,Education,United States,1872
Landesamt für Archäologie Sachsen,1,Archive,Germany,1991
"Landesamt für Bergbau, Energie und Geologie",1,Government,Germany,2006
"Landesamt für Natur, Umwelt und Verbraucherschutz Nordrhein-Westfalen",1,Government,Germany,2007
Landesamt für Soziales und Versorgung des Landes Brandenburg,1,Government,Germany,
"Landesamt für Umwelt, Naturschutz und Geologie",1,Government,Germany,1999
Iwate University,1,Education,Japan,1949
Lamberti (Italy),1,Company,Italy,1911
Lambda Alpha International,1,Nonprofit,United States,1930
Lamar University,1,Education,United States,1923
Lamar Community College,1,Education,United States,1937
Iwokrama International Centre for Rainforest Conservation and Development,1,Nonprofit,Guyana,1996
Lallemand (France),1,Company,France,
Lakeshore Museum Center,1,Archive,United States,1937
Izmir Kâtip Çelebi University,1,Education,Turkey,2010
CFlex (Brazil),1,Company,Brazil,1996
Izmir University,1,Education,Turkey,2007
Lake Washington Institute of Technology,1,Education,United States,1949
Izumo Science Center,1,Archive,Japan,2002
Lake Tanganyika Authority,1,Government,Burundi,2008
Lake Superior State University,1,Education,United States,1946
CGS Group,1,Other,Italy,1990
Lake Research Partners,1,Other,United States,1995
Landesanstalt für Umwelt Baden-Württemberg,1,Facility,Germany,2006
It’s The Journey,1,Nonprofit,United States,2002
Landesbank Baden-Württemberg,1,Other,Germany,1999
Landsvirkjun (Iceland),1,Company,Iceland,1965
Istituto Zooprofilattico Sperimentale delle Regioni Lazio e Toscana,1,Facility,Italy,
Istituto di Biofisica,1,Facility,Italy,2001
Laredo Community College,1,Education,United States,1947
Lappeenranta-Lahti University of Technology,1,Education,Finland,1969
Lapland University of Applied Sciences,1,Education,Finland,2014
Istituto di Biologia e Biotecnologia Agraria,1,Facility,Italy,
Lanzhou University of Finance and Economics,1,Education,China,1952
CEA Cadarache,1,Government,France,
Lanzhou Science and Technology Bureau,1,Other,China,
Language Technology Centre,1,Company,United Kingdom,1992
Langley Research Center,1,Facility,United States,1917
CEA Gramat,1,Government,France,
Istituto di Genomica Applicata,1,Facility,Italy,2006
Landtag of North Rhine-Westphalia,1,Government,Germany,1946
Landstinget i Kalmar län,1,Government,Sweden,1971
Italsolar (Italy),1,Company,Italy,
Landstinget Dalarna,1,Government,Sweden,1863
Landscape Research Group,1,Other,United Kingdom,1967
Istituto di Istruzione Superiore I.T.C. Di Vittorio,1,Facility,Italy,2000
Istituto di Matematica Applicata e Tecnologie Informatiche,1,Education,Italy,
Landscape Architecture Foundation,1,Nonprofit,United States,1966
Landscape Alberta Nursery Trades Association,1,Nonprofit,Canada,1957
Landon Pediatric Foundation,1,Other,United States,2004
Landmark University,1,Education,Nigeria,2011
CEA LIST,1,Government,France,
Landesschulrat für Tirol,1,Other,Austria,
Landesmuseum Kärnten,1,Archive,Austria,1844
Istituto di Ricerche Chimiche e Biochimiche G. Ronzoni,1,Education,Italy,1927
Italian Medicines Agency,1,Government,Italy,2003
Landesdenkmalamt Baden Württemberg,1,Archive,Germany,1972
Koç University,1,Education,Turkey,1993
Kostroma Research Institute of Agriculture,1,Facility,Russia,1956
Medica (United States),1,Company,United States,
CTI BioPharma (Italy),1,Company,Italy,1991
California College San Diego,1,Education,United States,1978
Kawasaki Heavy Industries (Japan),1,Company,Japan,1896
Kaweah Delta Health Care District,1,Healthcare,United States,1961
Kay Kendall Leukaemia Fund,1,Other,United Kingdom,
Kayaba Industry (Japan),1,Company,Japan,1919
Kazakh Research Institute of Agriculture and Plant growing,1,Facility,Kazakhstan,1934
Kazusa DNA Research Institute,1,Facility,Japan,1991
John Innes Foundation,1,Nonprofit,United Kingdom,1910
CSL (United States),1,Company,United States,1916
John T. Reid Charitable Trusts,1,Nonprofit,Australia,1955
Keith Khan Associates,1,Other,United Kingdom,2012
John S. Latsis Public Benefit Foundation,1,Nonprofit,Greece,2005
John Randolph Foundation,1,Nonprofit,United States,1995
John P. Murphy Foundation,1,Nonprofit,United States,1960
John Wood Group (United Kingdom),1,Company,United Kingdom,1982
Kato Foundation for Promotion of Science,1,Nonprofit,Japan,
Kativik Regional Government,1,Government,Canada,1978
Katholischer Akademischer Ausländer-Dienst,1,Nonprofit,Germany,1950
Katholieke Hogeschool Vives,1,Education,Belgium,2013
Kastamonu University,1,Education,Turkey,2006
Kasseler Institut für Ländliche Entwicklung,1,Facility,Germany,1999
Kasiak Research (India),1,Company,India,2005
Kashihara Insectarium,1,Archive,Japan,1989
Johnson Matthey Battery Systems (United Kingdom),1,Company,United Kingdom,2006
Karolinska Institutet Innovations (Sweden),1,Company,Sweden,1996
Karolinska Development (Sweden),1,Company,Sweden,2003
Karo Pharma (Sweden),1,Company,Sweden,1987
Karm Research Group (United Kingdom),1,Company,United Kingdom,
Karlsruhe Institute of Technology,1,Education,Germany,2009
Karla J. Williams Foundation,1,Nonprofit,United States,
CVS Health (United States),1,Company,United States,1996
John Merck Fund,1,Nonprofit,United States,1970
Kellogg’s (Belgium),1,Company,Belgium,1906
Kerntechnische Entsorgung Karlsruhe (Germany),1,Company,Germany,1964
Kenya Land Alliance,1,Nonprofit,Kenya,2013
CRUK/MRC Oxford Institute for Radiation Oncology,1,Facility,United Kingdom,
Jobs Australia,1,Nonprofit,Australia,
